,Centric,Parks,Seguretat,Restaurants,Luxe,Transport,Accessibilitat,Llocs d'interés,,,
Bel-Air,-1,1,1,-1,1,-1,1,-1,,,
Beverly Hills,-1,1,1,1,1,-1,1,1,,,
Pacific Palisades,-1,1,1,1,1,-1,1,1,,,
Silver Lake,1,1,1,1,-1,1,-1,-1,,,
Venice Beach,-1,1,-1,1,-1,1,1,-1,,,
Los Feliz,1,1,1,1,1,1,1,1,,,
Echo Park,1,1,-1,1,-1,1,1,1,,,ç
Boyle Heights,1,1,-1,1,-1,1,-1,-1,,,
Watts,-1,1,-1,-1,-1,1,1,1,,,
Koreatown,1,-1,-1,1,-1,1,-1,-1,,,
West Adams,1,1,-1,1,-1,1,-1,-1,,,
Beverly Grove,1,-1,1,1,1,1,1,1,,,
Marina del Rey,-1,1,1,1,1,1,1,-1,,,
Pasadena,-1,1,1,1,1,1,1,1,,,
Santa Monica,-1,1,1,1,1,1,1,1,,,
Studio City,-1,1,1,1,1,1,1,1,,,
Encino,-1,1,1,1,1,-1,-1,-1,,,
Highland Park,1,1,-1,1,-1,1,-1,-1,,,
Southeast Los Angeles,-1,1,-1,-1,-1,1,-1,-1,,,
Atwater Village,1,1,1,1,-1,1,-1,-1,,,